"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"1","abas","327","Japan","Abashiri ","SWJP40","ABASHIRI","2.09","07:19","2h","10'","  [open]  ","144.29","44.02"
"2","abed","","UK","Aberdeen ","ftp","","0.9","07:00","2h","15'","  [open]  ","-2.08","57.14"
"3","abur","82","Japan","Aburatsu ","SWJP40","ABURATSU","2.51","07:19","2h","10'","  [open]  ","131.41","31.58"
"4","acaj","182","El Salvador","Acajutla SV ","SZXX01","300434064008810","2.04","07:19","2h","5'","  [open]  ","-89.838128","13.573792"
"6","acap2","267","Mexico","Acapulco API ","SOMX10","0100D7CA","4.79","07:21","2h","10'","  [open]  ","-99.903","16.8379333"
"7","acnj","220","USA","Atlantic City NJ ","web","3367B730","0.39","07:21","2h","6'","  [open]  ","-74.4183","39.355"
"8","acnj2","220","USA","Atlantic City NJ ","SXXX03","3367B730","-8.16","2024-06-07 15:02","88d","6'","  [open]  ","-74.4183","39.355"
"9","acor1","","Spain","A Coruña ","web","","2.57","2024-06-04 11:10","91d","5'","  [open]  ","-8.3988889","43.3644444"
"10","acya","267","Mexico","Acapulco Club de Yates ","ftp","","0.09","2024-09-02 15:13","18h","10'","  [open]  ","-99.90298","16.83799"
"11","adak","302","USA","Adak AK ","web","3360F60E","0.52","2024-04-19 17:30","137d","6'","  [open]  ","-176.632","51.863"
"12","adak2","302","USA","Adak AK ","SXXX03","3360F60E","-2.45","07:18","2h","6'","  [open]  ","-176.632","51.863"
"13","aden","3","Yemen","Aden ","SXXX33","3686B76A","","2024-03-20 11:11","167d","15'","  [open]  ","44.9742","12.7883"
"14","agal","","Mauritius","Agalega ","SXXX32","3246B586","3.7","2023-12-08 11:01","270d","15'","  [open]  ","56.58556167","-10.34559167"
"15","agua","","Puerto Rico","Aguadilla (Crash Boat) ","SXXX03","A4F01158","-7.21","2024-06-07 14:27","88d","6'","  [open]  ","-67.165","18.4583333"
"16","aigi","","Greece","Aigio, Western Greece ","bgan","GR-AIGI-00","0.01","09:02","8'","1'","  [open]  ","22.076850891113","38.257148742676"
"17","ajac","","France","Ajaccio ","ftp","","0.62","07:24","2h","5'","  [open]  ","8.76","41.92"
"18","ajac2","","France","Ajaccio2 ","SZFR01","FR0300","0.62","07:17","2h","6'","  [open]  ","8.76","41.92"
"19","alac1","","Spain","Alicante1 ","web","","1.04","07:20","2h","10'","  [open]  ","-0.4777778","38.3383333"
"20","alac2","","Spain","Alicante2 ","web","","1.9","07:20","2h","10'","  [open]  ","-0.4813889","38.3388889"
"22","alak2","","USA","Alitak US ","SXXX03","3363341E","-4.35","07:21","2h","6'","  [open]  ","-154.2481","56.8975"
"23","alam","","USA","Alameda CA ","web","3362E08C","1.97","07:17","2h","6'","  [open]  ","-122.298","37.772"
"25","alawa","","USA","Ala Wai Hbr ","SZXX01","US-HI-ALAWAI","0.13","07:20","2h","5'","  [open]  ","-157.841641","21.285954"
"27","albu","","Portugal","Albufeira ","bgan","ALBU","-0.58","2022-03-22 13:40","896d","1'","  [open]  ","-8.260396","37.08254"
"28","alcu","","Spain","Alcudia ","ftp","","0.66","07:22","2h","4'","  [open]  ","3.13898","39.83456"
"29","aler","333","Canada","Alert ","web","","0.59","2024-08-30 08:30","4d","10'","  [open]  ","-62.32","82.49"
"30","ales","","Norway","Ålesund ","web","","1.28","07:20","2h","10'","  [open]  ","6.151946","62.469414"
"32","alex1","","Egypt","Alexandria ","bgan","ALEX1","-3.86","2023-11-26 02:43","282d","1'","  [open]  ","29.884913","31.212396"
"33","alex2","","Egypt","Alexandria ","web","","-3.78","07:28","2h","1'","  [open]  ","29.884913","31.212396"
"34","alex3","","Egypt","alexandria ","bgan","EG-ALE3-00","4.19","09:10","","1'","  [open]  ","29.8853056","31.2124898"
"35","alge","","Spain","Algeciras ","ftp","","0.47","07:22","2h","4'","  [open]  ","-5.39838","36.177"
"36","alme","","Spain","Almeria ","ftp","","0.39","07:22","2h","4'","  [open]  ","-2.47835","36.83002"
"37","alme2","","Spain","Almería ","web","","2.53","2024-05-13 11:50","113d","10'","  [open]  ","-2.4847222","36.8322222"
"38","alofi","","Niue","Alofi Niue ","SZPS01","66570","1.08","07:26","2h","3'","  [open]  ","-169.9209","-19.0527"
"39","alva","","Mexico","Alvarado ","ftp","","5.74","07:22","2h","10'","  [open]  ","-95.75595","18.76615"
"40","alva2","","Mexico","Alvarado2 ","SOMX10","01014052","5.66","06:02","3h","1h","  [open]  ","-95.75595","18.76615"
"41","amal","","USA","Charlotte-Amalie VI ","web","3364A348","0.21","07:18","2h","6'","  [open]  ","-64.92","18.335"
"42","amal2","","USA","Charlotte-Amalie VI ","SXXX03","3364A348","-3.86","07:21","2h","6'","  [open]  ","-64.92","18.335"
"43","amas","","Turkey","Amasra ","web","","1.99","2024-08-19 09:42","15d","2'","  [open]  ","32.391750335693","41.744358062744"
"45","AN15","","Italy","Ancona ","web","","0.02","07:23","2h","5'","  [open]  ","13.506516666667","43.624766666667"
"46","anch","","USA","Anchorage AK ","web","3363B20A","5.23","07:21","2h","6'","  [open]  ","-149.888","61.238"
"47","anch2","","USA","Anchorage AK ","SXXX03","3363B20A","-1.87","07:20","2h","6'","  [open]  ","-149.888","61.238"
"48","ancu","","Chile","Ancud ","SXCH40","ADC01B9A","5.55","05:16","4h","5'","  [open]  ","-73.83288","-41.867383"
"49","ancu2","","Chile","Ancud ","web","","4.92","07:19","2h","5'","  [open]  ","-73.83288","-41.867383"
"50","ande","322","Norway","Andenes ","web","","0.64","07:20","2h","10'","  [open]  ","16.134848","69.326067"
"51","angu","","Anguilla","Road Bay ","SOTI10","C7906572","0.29","07:20","2h","5'","  [open]  ","-63.09268229","18.1969967"
"52","anta","","Turkey","Antalya ","web","","1.4","07:23","2h","2'","  [open]  ","30.612609863281","36.835536956787"
"53","anto","174","Chile","Antofagasta CL ","SXCH40","ADC0F6BA","4.8","07:23","2h","5'","  [open]  ","-70.40462436","-23.65421517"
"54","anto2","174","Chile","Antofagasta CL ","web","","4.75","07:22","2h","5'","  [open]  ","-70.40462436","-23.65421517"
"55","apfl","","USA","Apalachicola FL ","web","3346C2B4","0.62","07:20","2h","6'","  [open]  ","-84.982","29.727"
"56","apfl2","","USA","Apalachicola FL ","SXXX03","3346C2B4","-6.06","07:20","2h","6'","  [open]  ","-84.982","29.727"
"57","apla","","USA","Lawma, Amerada Pass, LA ","web","334773C0","0.49","07:21","2h","6'","  [open]  ","-91.3381","29.4496"
"58","apla2","","USA","Lawma, Amerada Pass, LA ","SXXX90","AMRL1","-8.16","2023-10-24 07:15","315d","6'","  [open]  ","-91.3381","29.4496"
"60","aracS","","Puerto Rico","Arecibo (GTS) ","SXXX03","3366454E","-3.51","07:18","2h","6'","  [open]  ","-66.7024","18.4805"
"61","arca","","France","Arcachon Eyrac ","ftp","","3.32","2024-08-31 01:33","3d","5'","  [open]  ","-1.16355","44.665"
"62","arca2","","France","Arcachon Eyrac 2 ","SZFR01","FR190","3.31","2024-08-31 01:32","3d","6'","  [open]  ","-1.16355","44.665"
"63","aren","","USA","Arena Cove CA ","web","3368115A","1.72","07:14","2h","6'","  [open]  ","-123.705","38.913"
"64","aren2","","USA","Arena Cove CA ","SXXX03","336AF75C","-5.25","07:21","2h","6'","  [open]  ","-123.705","38.913"
"65","aric","","Chile","Arica CL ","SXCH40","ADC0D056","3.94","07:22","2h","5'","  [open]  ","-70.3232305","-18.4758"
"66","aric2","","Chile","Arica CL ","web","","3.91","07:21","2h","5'","  [open]  ","-70.3232305","-18.4758"
"67","arko","","Sweden","Arko ","web","","0.11","07:00","2h","1h","  [open]  ","16.960556","58.484167"
"69","arrc2","","Brasil","Porto do Forno ","web","","2.74","2024-08-27 19:20","7d","10'","  [open]  ","-42.013611","-22.9725"
"70","arre","","Spain","Arrecife ","ftp","","0.86","07:22","2h","4'","  [open]  ","-13.53006","28.97188"
"71","arri","","Portugal","Arrifana ","bgan","ARRI","0.8","2022-10-24 00:25","680d","1'","  [open]  ","-8.869385","37.295569"
"72","arsu","","Turkey","Arsuz (Hatay) ","web","","2","07:24","2h","2'","  [open]  ","35.88519","36.41559"
"73","ascen","263","UK","Ascension ","SXXX32","265C94AA","7.21","07:08","2h","6'","  [open]  ","-14.3857","-7.8928"
"79","asto","","USA","Astoria OR ","web","335086EE","2.19","07:19","2h","6'","  [open]  ","-123.767","46.208"
"80","asto2","","USA","Astoria OR ","SZPZ34","ASTO3","2.12","07:13","2h","6'","  [open]  ","-123.767","46.208"
"81","atic","","Perú","Atico, Arequipa PE ","web","","2.16","2024-09-01 00:00","2d","5'","  [open]  ","-73.6944","-16.2311"
"82","atka","","USA","Atka, AK ","web","","0.72","07:23","2h","5'","  [open]  ","-174.173","52.2317"
"83","auasi","","Samoa","Auasi ","SZXX01","300434066941760","1.79","07:20","2h","5'","  [open]  ","-170.57307","-14.271544"
"84","auct","127","New Zealand","Auckland NZ ","SZNZ01","AUCT","6.69","07:22","2h","3'","  [open]  ","174.7865","-36.8314"
"85","audi","","France","Audierne ","ftp","","2.55","07:24","2h","5'","  [open]  ","-4.5372","48.0216"
"86","audi2","","France","Audierne 2 ","SZFR01","FR6305","4.12","2024-07-12 08:20","53d","6'","  [open]  ","-4.5372","48.0216"
"87","aunuu","","Samoa","Aunuu ","SZXX01","300434066946670","1.82","07:10","2h","5'","  [open]  ","-170.561021","-14.283449"
"88","avon","","UK","Avonmouth Portbury ","ftp","","12.15","06:45","2h","15'","  [open]  ","-2.73","51.5"
"89","AZ42","","Italy","Anzio ","web","","0.13","07:23","2h","5'","  [open]  ","12.634797222222","41.446858333333"
"90","BA05","","Italy","Bari ","web","","-0.16","07:23","2h","5'","  [open]  ","16.866033333333","41.140205555556"
"91","balc","","Colombia","Ballenas ","ftp","","2.96","07:10","2h","10'","  [open]  ","-72.72417","11.7002783"
"92","ball","","Ireland","Ballyglass pier, Belmullet ","ftp","","0.85","07:20","2h","1h","  [open]  ","-9.89","54.253"
"93","balt","169","Ecuador","Baltra,Galapagos EC ","SEEQ40","932040EE","4.5","07:22","2h","5'","  [open]  ","-90.283","-0.433"
"94","bamd","","USA","Baltimore MD ","web","336577DA","0.12","07:18","2h","6'","  [open]  ","-76.578","39.267"
"96","bame","","USA","Bar Harbor ME ","web","336747B4","1.3","07:18","2h","6'","  [open]  ","-68.205","44.3916"
"97","bame2","","USA","Bar Harbor ME ","SXXX03","336747B4","-4.93","07:20","2h","6'","  [open]  ","-68.205","44.3916"
"98","bamf","","Canada","Bamfield ","web","","3.09","07:24","2h","10'","  [open]  ","-125.14","48.84"
"99","bang","","UK","Bangor ","ftp","","1.24","07:00","2h","15'","  [open]  ","-5.67","54.66"
"100","bapj","","Australia","Battery Point AU ","SZAU01","61221","1.18","07:26","2h","3'","  [open]  ","147.338","-42.8923"
"101","bara","","Dominican Republic","Barahona ","SXDR40","04401622","6.47","03:55","5h","5'","  [open]  ","-71.092154","18.208137"
"103","barb2","","Antigua","Barbuda ","SXXX03","334550D8","16.06","2023-10-07 16:56","332d","6'","  [open]  ","-61.8206","17.5907"
"104","barc","","Spain","Barcelona ","ftp","","0.51","07:22","2h","4'","  [open]  ","2.1657","41.34177"
"105","barc2","","Spain","Port of Barcelona ","SXXX33","1825C776","3.34","07:18","2h","6'","  [open]  ","2.187024","41.362977"
"107","barn","","Australia","Burnie Tasmania AU ","SZAU01","60910","1.35","07:26","2h","3'","  [open]  ","145.915","-41.0501"
"108","bars","","Sweden","Barseback ","web","","0.07","07:00","2h","1h","  [open]  ","12.903333","55.756389"
"110","batr","","Lebanon","Batroun ","bgan","BATR","4.71","2023-03-20 10:28","533d","1'","  [open]  ","35.65641","34.25156"
"111","bayo","","Perú","Bayovar,Piura PE ","web","","3.27","2024-08-23 23:26","10d","5'","  [open]  ","-81.0544","-5.7938"
"112","bbbc","","Canada","Bella Bella ","SXAK50","CD401E4C","0.82","2023-12-15 05:43","263d","5'","  [open]  ","-128.14","52.16"
"115","bcar","","Ecuador","Bahía de Caráquez ","web","","2.6","06:29","3h","10'","  [open]  ","-80.423","-0.607"
"116","bcon","","Barbados","Consett Bay Jetty ","web","","4.08","07:24","2h","1'","  [open]  ","-59.466331","13.179314"
"117","bdto","","Panamá","Bocas Del Toro ","SOPM10","F230215A","-2.45","07:23","2h","5'","  [open]  ","-82.257703","9.350921"
"118","bele","","Brasil","Belém ","SEPO40","B5B01A70","7.09","2024-06-07 14:38","88d","5'","  [open]  ","-48.496339","-1.442244"
"119","bele2","","Brasil","Porto de Belém ","web","","-999","07:20","2h","10'","  [open]  ","-48.496389","-1.442222"
"120","benc","","USA","Beaufort NC ","web","3364C6AE","0.2","07:21","2h","6'","  [open]  ","-76.67","34.72"
"121","benc2","","USA","Beaufort NC ","SXXX03","3364C6AE","-3.73","07:21","2h","6'","  [open]  ","-76.67","34.72"
"122","beno","49","Indonesia","Benoa ","SZXX01","300434067150400","1.58","07:20","2h","5'","  [open]  ","115.2166","-8.7666"
"123","berg","","Norway","Bergen ","web","","1.13","07:20","2h","10'","  [open]  ","5.320487","60.398046"
"124","bgct","","USA","Bridgeport CT ","web","","1.15","07:18","2h","6'","  [open]  ","-73.1816","41.1733"
"125","bgct2","","USA","Bridgeport CT ","SXXX03","3372E712","-5.43","07:21","2h","6'","  [open]  ","-73.1816","41.1733"
"126","bil3","","Spain","Bilbao3 ","ftp","","1.83","07:23","2h","4'","  [open]  ","-3.04513","43.35153"
"127","bitu","69","Indonesia","Bitung ","SZXX01","300434067058990","7.68","07:20","2h","5'","  [open]  ","125.190431","1.438944"
"128","blkw","","Belgium","Blankenberge ","web","","0.75","07:15","2h","5'","  [open]  ","3.116388889","51.31055556"
"129","blow","","Anguilla","Blowing Point ","SOAT10","A84006AC","6.93","07:25","2h","5'","  [open]  ","-63.0926167","18.1710861"
"130","blri","","USA","Prudence Island RI ","SXXX03","334F6410","","","","6'","  [open]  ","-71.3","41.6"
"131","blueb","","Mauritius","Blue Bay ","SXXX32","22BF90A6","3.53","07:15","2h","15'","  [open]  ","57.71095","-20.44413333"
"132","bmda","221","UK","Bermuda St Georges ","web","","0.1","07:21","2h","6'","  [open]  ","-64.7","32.36667"
"134","bmsa","","Chile","Bahia Mansa CL ","SXCH40","14063458","3.95","07:22","2h","5'","  [open]  ","-73.737036","-40.580942"
"135","bmsa2","","Chile","Bahia Mansa CL ","web","","4.1","07:26","2h","5'","  [open]  ","-73.737036","-40.580942"
"136","bmsg","","Bermudas","Bermuda St. George's Cruise Pier ","SOTI10","C79013E2","2.49","2023-09-14 23:44","354d","5'","  [open]  ","-64.676173","32.38009"
"137","bmso","","Bermudas","Bermuda Somerset ","SOTI10","C7901D30","3.1","07:24","2h","5'","  [open]  ","-64.875617","32.278308"
"139","bodo","","Norway","Bodø ","web","","0.89","07:20","2h","10'","  [open]  ","14.39977","67.29233"
"140","bodr","","Turkey","Bodrum ","web","","1.9","07:24","2h","2'","  [open]  ","27.423453","37.03217"
"141","bodri","","Turkey","Bodrum (IDSL) ","bgan","BODRI","0.85","2023-11-25 21:43","282d","1'","  [open]  ","27.42477","37.031054"
"142","bois","","Barbados","Oistins Jetty ","web","","4.75","07:24","2h","1'","  [open]  ","-59.547","13.0706"
"143","boma","","USA","Boston MA ","web","335E54EE","1.73","07:18","2h","6'","  [open]  ","-71.0516","42.355"
"144","boma2","","USA","Boston MA ","SXLA03","3373C304","","","","5'","  [open]  ","-71.0516","42.355"
"145","bon2","","Spain","Bonanza2 ","ftp","","1.04","07:22","2h","4'","  [open]  ","-6.33813","36.80221"
"146","bona","","Sweden","Bonan ","web","","0.05","07:00","2h","1h","  [open]  ","17.318611","60.738611"
"147","bork","","Germany","Borkum Fischerbalje ","web","","5.48","07:24","2h","5'","  [open]  ","6.749444","53.5575"
"148","bouc","","France","Boucau-Bayonne ","ftp","","2.11","07:20","2h","5'","  [open]  ","-1.51483","43.5273"
"149","bouc2","","France","Boucau-Bayonne 2 ","SZFR01","FR094","2.11","07:20","2h","6'","  [open]  ","-1.51483","43.5273"
"150","boul","","France","Boulogne-Sur-Mer ","ftp","","2.1","07:24","2h","5'","  [open]  ","1.57746","50.7275"
"151","boul2","","France","Boulogne-Sur-Mer 2 ","SZFR01","FR111","2.06","07:20","2h","6'","  [open]  ","1.57746","50.7275"
"152","bour","","UK","Bournemouth ","ftp","","1.89","06:45","2h","15'","  [open]  ","-1.87","50.71"
"153","boye","","Chile","Boyeruca CL ","SXCH40","ADC203CA","1.26","07:23","2h","5'","  [open]  ","-72.05786","-34.6873055"
"154","boye2","","Chile","Boyeruca CL ","web","","0.84","07:22","2h","5'","  [open]  ","-72.05786","-34.6873055"
"155","bozc","","Turkey","Bozcaada ","bgan","BOZC","1.56","2023-11-26 02:43","282d","1'","  [open]  ","26.075859","39.835741"
"156","bozy","","Turkey","Bozyazi ","web","","1.91","07:24","2h","2'","  [open]  ","32.941310882568","36.09741973877"
"157","bres","242","France","Brest ","ftp","","4.08","07:20","2h","5'","  [open]  ","-4.5","48.38"
"158","bres2","","France","Labo2 ","SZFR01","FR0001","0.5","2024-03-08 07:51","179d","6'","  [open]  ","-4.495","48.4086"
"160","brid2","","Barbados","Bridgetown Port ","web","","2.85","07:25","2h","1'","  [open]  ","-59.6314139","13.1113555"
"161","BRLT","","Italy","Barletta ","bgan","","","","","0.016'","  [open]  ","16.28989","41.33256"
"162","brof","","Sweden","Brofjorden ","web","","-0.02","07:00","2h","1h","  [open]  ","11.404722","58.336111"
"163","brom","40","Australia","Broome AU ","SZAU01","62650","4.59","07:26","2h","3'","  [open]  ","122.2186","-18.0008"
"164","brpt","","Hawaii","Barbers Point ","SEPO40","35403732","3.95","07:22","2h","5'","  [open]  ","-158.1193","21.3218"
"165","brsk","","Netherlands","Breskens Handelshaven ","web","","-1.55","07:00","2h","10'","  [open]  ","3.54772455443","51.4014003201"
"166","brur","","Norway","Bruravik ","web","","1.19","07:20","2h","10'","  [open]  ","6.893949","60.492094"
"168","btny","","USA","Battery The NY ","web","336670D4","0.16","07:21","2h","6'","  [open]  ","-74.02","40.7"
"169","btny2","","USA","Battery The NY ","SXXX03","336670D4","-4.11","07:15","2h","6'","  [open]  ","-74.02","40.7"
"173","bull","","Curaçao","Bullen Bay ","SEPO40","3541C54C","8.92","07:21","2h","5'","  [open]  ","-69.0196139","12.1873306"
"175","busa","84","Korea","Busan ","ftp","","0.57","07:22","2h","1'","  [open]  ","129.0375","35.093056"
"176","buve","170","Colombia","Buenaventura ","ftp","","5.07","2024-09-02 21:18","12h","5'","  [open]  ","-77.0808","3.8906"
"177","buve2","170","Colombia","Buenaventura ","SXCO41","15AA92C8","","2024-09-02 21:51","11h","5'","  [open]  ","-77.0808","3.8906"
"178","buve3","170","Colombia","Buenaventura ","SXCO41","6B004E92","","","","5'","  [open]  ","-77.2621","3.8329"
"179","CA02","","Italy","Cagliari ","web","","0.39","07:23","2h","5'","  [open]  ","9.1142","39.2101"
"180","cabc","","Belize","Carrie Bow Cay ","SOBH10","777022C4","-2.36","07:17","2h","5'","  [open]  ","-88.08202","16.80283"
"183","cadi","","Spain","Cadiz ","bgan","CADI","-0.12","2023-11-10 06:55","298d","1'","  [open]  ","-6.280612","36.54214"
"184","cagb","","Cayman Islands","Grand Cayman, Gun Bay ","SOTI10","C7903BDC","1.03","2024-07-04 08:05","61d","5'","  [open]  ","-81.089491","19.312283"
"185","cagt","","Cayman Islands","Grand Cayman, George Town ","SOTI10","C790350E","3.85","2024-01-27 01:50","220d","5'","  [open]  ","-81.383394","19.295086"
"186","cala","","France","Calais ","ftp","","1.53","07:25","2h","5'","  [open]  ","1.86772","50.9694"
"187","cala2","","France","Calais 2 ","SZFR01","FR0055","1.55","07:18","2h","6'","  [open]  ","1.86772","50.9694"
"189","cald","","Chile","Caldera CL ","SXCH40","ADC104C4","4.17","07:23","2h","5'","  [open]  ","-70.82471944","-27.0646055"
"190","cald2","","Chile","Caldera CL ","web","","4.05","07:22","2h","5'","  [open]  ","-70.82471944","-27.0646055"
"191","call","173","Perú","Callao,La-Punta PE ","SEPO40","354165B4","5.86","07:25","2h","5'","  [open]  ","-77.1668","-12.069"
"192","calq","","Saint Vincent & Grenadines","Calliaqua Coast Guard Base ","SOVG10","53500294","1.64","07:23","2h","5'","  [open]  ","-61.1955","13.129912"
"193","camt","","Mexico","Lerma Campeche ","ftp","","2.02","2024-09-02 15:37","18h","10'","  [open]  ","-90.594916","19.811985"
"195","caph","","Haïti","Cap-Haïtien ","SEHA10","3540C7B6","","2023-12-26 19:18","252d","5'","  [open]  ","-72.193371","19.759303"
"197","carb","","Spain","Carboneras ","ftp","","0.22","07:22","2h","4'","  [open]  ","-1.89959","36.9743"
"199","cart","207","Colombia","Cartagena ","SXCO41","15A06DCC","0.37","07:19","2h","15'","  [open]  ","-75.5369","10.3914"
"200","casc","246","Portugal","Cascais ","socket","","-0.78","07:26","2h","0.0833'","  [open]  ","-9.415384","38.693158"
"201","cast","330","Ireland","Castletownbere ","ftp","","0.13","07:20","2h","1h","  [open]  ","-9.9034","51.6496"
"202","cazul","","Perú","Cerro Azul, Cañete PE ","web","","1.74","2024-04-09 17:26","147d","5'","  [open]  ","-76.48527","-13.02583"
"203","cbmd","","USA","Cambridge MD ","web","3366E5B6","0.47","07:12","2h","6'","  [open]  ","-76.0683","38.5733"
"204","cbmd2","","USA","Cambridge MD ","SXXX03","3366E5B6","-2.14","07:21","2h","6'","  [open]  ","-76.0683","38.5733"
"205","cbva","","USA","Chesapeake Bay VA ","SXXX50","was3358D234","","","","6'","  [open]  ","-76.113","36.967"
"206","ccar","","Mexico","Ciudad del Cármen, Camp. ","ftp","","1.44","07:17","2h","10'","  [open]  ","-91.83615","18.63605"
"207","ccar2","","Mexico","Ciudad del Cármen2 ","","","","","","1h","  [open]  ","-91.83615","18.63605"
"213","cent","","France","Centuri ","ftp","","0.65","07:02","2h","5'","  [open]  ","9.350146","42.966904"
"214","cent2","","France","Centuri2 ","SZFR01","FR0807","0.65","07:20","2h","6'","  [open]  ","9.350146","42.966904"
"215","CETR","","Italy","Cetraro ","web","","0.27","07:28","2h","0.25'","  [open]  ","15.920171","39.52677"
"216","ceut","249","Spain","Ceuta ","web","","1.08","2024-09-02 03:59","1d","1d","  [open]  ","-5.3166","35.9"
"217","ceut1","","Spain","Ceuta ","bgan","CEUT1","0.87","2023-11-26 02:43","282d","1'","  [open]  ","-5.3115852","35.8959058"
"218","CF06","","Italy","Carloforte ","web","","0.25","07:23","2h","5'","  [open]  ","8.3081","39.1436"
"220","chala","","Perú","Chala,Arequipa,PE ","web","","0.42","07:29","2h","10'","  [open]  ","-74.24805","-15.8661"
"221","char","","USA","Charleston, OR ","web","336874BC","2.27","07:20","2h","6'","  [open]  ","-124.3217","43.345"
"222","char2","","USA","Charleston, OR ","SXXX03","336874BC","-3.01","07:20","2h","6'","  [open]  ","-124.3217","43.345"
"223","chat","","Saint Vincent & Grenadines","Chateaubelair ","SOVG10","53500C46","0.01","07:20","2h","5'","  [open]  ","-61.2406","13.2911"
"224","chenn","34","India","Chennai ","ftp","43280","0.52","07:21","2h","10'","  [open]  ","80.3","13.1"
"225","cher","","France","Cherbourg ","ftp","","6.01","07:24","2h","5'","  [open]  ","-1.63","49.65"
"226","cher2","","France","Cherbourg 2 ","SZFR01","FR013","4.13","2024-09-02 16:57","16h","6'","  [open]  ","-1.63","49.65"
"227","chia","","Mexico","Puerto Chiapas/Madero ","SOMX10","0100A15A","6.51","2024-08-08 19:51","26d","5'","  [open]  ","-92.4013833","14.7123"
"228","chij","103","Japan","Chichijima ","SWJP40","CHICHIJIMA","2.51","07:19","2h","10'","  [open]  ","142.19","27.09"
"229","chimb","","Perú","Chimbote,Ancash PE ","web","","1.77","2024-05-11 16:10","115d","10'","  [open]  ","-78.6125","-9.0761"
"230","chit","","New Zealand","Owenga, Chatham Island ","SZNZ01","CHIT","2.99","07:22","2h","3'","  [open]  ","-176.3688","-44.0247"
"231","chnr","","Chile","Chañaral CL ","SXCH40","ADC296A8","3.49","07:24","2h","5'","  [open]  ","-70.633759","-26.351758"
"232","chnr2","","Chile","Chañaral CL ","web","","3.45","07:23","2h","5'","  [open]  ","-70.633759","-26.351758"
"234","chrp","","USA","Cherry Point WA ","web","336BB6AC","1.35","07:22","2h","6'","  [open]  ","-122.758","48.863"
"235","chrp2","","USA","Cherry Point WA ","SXXX03","336BB6AC","-7.15","07:22","2h","6'","  [open]  ","-122.758","48.863"
"236","chrs","47","Australia","Christmas Island AU ","SZIO01","46290","0.31","07:26","2h","3'","  [open]  ","105.6693","-10.4294"
"237","chst","","New Zealand","Charleston ","SZNZ01","CHST","2.29","07:22","2h","3'","  [open]  ","171.4338","-41.9032"
"238","chtt","36","Bangladesh","Chittagong ","SZBW40","065079CC","8.19","07:24","2h","6'","  [open]  ","91.825","22.3333"
"239","chuu","116","Micronesia","Chuuk ","SZXX01","300434063442310","3.91","07:19","2h","5'","  [open]  ","151.8982417","7.4536833"
"240","CI20","","Italy","Civitavecchia ","web","","0.19","07:16","2h","5'","  [open]  ","11.789647222222","42.093958333333"
"242","cili","291","Indonesia","Cilacap ","SZXX01","300434067156900","2.6","07:19","2h","5'","  [open]  ","109","-7.75"
"243","ciut","","Spain","Ciutadella ","bgan","CIUT","0.08","2023-11-24 18:08","284d","1'","  [open]  ","3.828154","39.987588"
"244","clst","","Mexico","Celestun, Yuc. ","ftp","","2.21","2024-09-02 15:18","18h","10'","  [open]  ","-90.405121","20.864506"
"245","cmet","","Chile","Caleta Meteoro CL ","SXCH40","140204F8","2.28","07:14","2h","15'","  [open]  ","-74.072156","-52.961019"
"246","cmet3","","Chile","Caleta Meteoro CL ","web","","2.57","07:23","2h","1'","  [open]  ","-74.072156","-52.961019"
"247","cmnj","","USA","Cape May NJ ","web","335D53E0","0.38","07:21","2h","6'","  [open]  ","-74.96","38.9683"
"248","cmnj2","","USA","Cape May NJ ","SXXX03","335D53E0","-4.89","07:21","2h","6'","  [open]  ","-74.96","38.9683"
"250","cocb","46","Australia","Cocos Island AU ","SZIO01","46280","0.93","07:26","2h","3'","  [open]  ","96.8919","-12.1167"
"251","coch","32","India","Cochin ","ftp","43357","1.09","06:54","2h","10'","  [open]  ","76.26","9.96"
"252","cocos","","Costa Rica","Cocos Island ","SEPO40","3542E4AE","4.54","07:25","2h","5'","  [open]  ","-87.04783","5.556083"
"255","coli","","Chile","Coliumo CL ","SXCH40","ADC210BC","4.44","07:21","2h","5'","  [open]  ","-72.957142","-36.53797"
"256","coli2","","Chile","Coliumo ","web","","2.41","07:20","2h","5'","  [open]  ","-72.957142","-36.53797"
"257","colo","33","Sri Lanka","Colombo ","SWIO40","0650018E","1.19","07:15","2h","15'","  [open]  ","79.8503833","6.9406"
"259","conc","","France","Concarneau ","ftp","","2.54","07:25","2h","5'","  [open]  ","-3.90738","47.8737"
"260","conc2","","France","Concarneau 2 ","SZFR01","FR160","2.67","07:17","2h","6'","  [open]  ","-3.90738","47.8737"
"261","cons2","","Chile","Constitucion CL ","web","","4.96","07:15","2h","5'","  [open]  ","-72.457031","-35.355725"
"262","const","","Chile","Constitucion CL ","SXCH40","ADC154B8","4.92","07:20","2h","5'","  [open]  ","-72.457031","-35.355725"
"263","coqu","","Chile","Coquimbo CL ","SXCH40","ADC117B2","3.51","07:23","2h","5'","  [open]  ","-71.335258","-29.950139"
"264","coqu2","","Chile","Coquimbo CL ","web","","3.51","07:22","2h","5'","  [open]  ","-71.335258","-29.950139"
"265","cor2","243","Spain","Acoruna ","ftp","","1.98","07:22","2h","4'","  [open]  ","-8.38938","43.35727"
